letter,pages
a,179
b,79
c,68
d,77
e,41
f,30
g,51
h,55
i,26
j,53
k,77
l,44
m,100
n,59
o,18
p,59
q,6
r,67
s,154
t,58
u,19
v,47
w,18
x,3
y,19
z,16
